Word, Length, #Unique Characters, Optimal Guesses Required, Optimal Incorrect Guesses Required, Optimal Guesses, Optimal options at 10, Easy Guesses Required, Easy Incorrect Guesses Required, Easy options at 10
petitions, 9, 7, 5, 1, e i s o l,0,4,1,0
pharmacologists, 15, 12, 4, 0, i o g l,0,3,1,0
phlegmatic, 10, 10, 4, 0, e i c p,0,3,0,0
photocopied, 11, 8, 9, 2, e i o c t h p s r,0,8,4,0
phylactery, 10, 9, 4, 1, e s t y,0,3,0,0
picketing, 9, 8, 7, 1, e i n g r t k,0,11,7,0
piercing, 8, 7, 5, 1, e i n g d,0,8,4,0
pillages, 8, 7, 8, 2, e s i a t l g v,0,16,10,2
pings, 5, 5, 13, 9, e s a o i l n k d t g w r,1,17,12,9
piped, 5, 4, 10, 6, e s d a o i l m r p,0,16,12,8
piteous, 7, 7, 4, 1, e a i t,0,4,1,0
placatingly, 11, 9, 5, 1, e i n y l,0,5,2,0
plane, 5, 5, 8, 3, e a s r l p t n,0,8,5,0
plastics, 8, 7, 6, 2, e i n s p t,0,7,3,0
playing, 7, 7, 10, 3, e i n g a s r l p y,0,16,11,7
plenary, 7, 7, 4, 1, e r a d,0,6,3,0
plovers, 7, 7, 8, 3, e s r a i o l w,0,16,10,4
plunger, 7, 7, 10, 3, e r i l a u b p n g,0,11,7,0
podia, 5, 5, 7, 4, e s a o g p k,0,5,2,0
poked, 5, 5, 8, 4, e s d a o p r l,0,16,12,12
polishings, 10, 8, 3, 1, e i s,0,5,3,0
poloneck, 8, 7, 5, 2, e s t l k,0,7,4,0
polyphony, 9, 6, 6, 4, e i a o s n,0,6,4,0
pontification, 13, 8, 4, 0, i n a t,0,6,1,0
populated, 9, 8, 8, 2, e s d n a t l o,0,11,5,0
portends, 8, 8, 4, 0, e s n t,0,6,2,0
positions, 9, 6, 5, 1, e i s n t,0,5,2,0
postgraduate, 12, 10, 3, 1, i e a,0,2,0,0
potassium, 9, 8, 4, 2, e i n a,0,4,1,0
poundage, 8, 8, 6, 2, e a t c g p,0,6,2,0
practitioner, 12, 9, 3, 1, i l t,0,3,0,0
preaching, 9, 9, 10, 1, e r n g i a h t c p,0,16,8,0
preciseness, 11, 7, 3, 0, e n s,0,3,2,0
predicating, 11, 10, 4, 0, e i r n,0,5,1,0
preferential, 12, 9, 3, 1, i n s,0,2,0,0
premises, 8, 6, 3, 0, e r s,0,7,4,0
prescription, 12, 9, 5, 0, i n o t r,0,4,1,0
pressingly, 10, 9, 6, 0, e i g y n l,0,6,3,0
pretentious, 11, 9, 2, 0, e t,0,2,0,0
preying, 7, 7, 6, 1, e r i g n w,0,16,11,3
primeness, 9, 7, 6, 1, e s n r i t,0,6,3,0
prioritised, 11, 8, 4, 0, e i t s,0,7,2,0
probabilities, 13, 10, 3, 0, i t s,0,3,0,0
procrastination, 15, 9, 2, 0, i n,0,4,1,0
profanely, 9, 9, 4, 1, e s n r,0,4,1,0
proformas, 9, 7, 5, 2, e i a o s,0,4,2,0
projected, 9, 8, 8, 2, e s d n r o p t,0,4,1,0
